,2007,2008,2009,2010,2011,2012,2013
Austria,274019.8,282746.0,274818.2,286197.3,300891.3,310133.3,322190.4
Belgium,335610.0,346130.0,340398.0,354378.0,370436.4,381779.9,396273.8
Bulgaria,30772.4,35430.5,34932.8,36033.5,38989.9,-,-
Croatia,43380.4,47760.2,45666.1,45899.2,46021.6,46781,48175.2
Cyprus,15901.5,17157.1,16853.5,17333.6,17928.6,18409.6,19167.5
Czech Republic,131908.6,154269.7,141449.8,149313.3,157538.3,155688.8,160030.9
Denmark,227533.9,235133.0,223985.3,235608.6,241148.1,249122.9,258155.3
Estonia,16069.4,16304.2,13839.6,14305.3,16011.6,17006,18163.9
Finland,179830.0,185651.0,173267.0,180253.0,190257.4,198251.5,206115.5
France,1886792.1,1933195.0,1889231.0,1932801.5,1987699.4,2027969.8,2092928.4
Germany,2428500.0,2473800.0,2374500.0,2476800.0,2570000.0,2626427.9,2705181.1
Greece,222771.1,232920.3,231642.0,227317.9,217828.8,212139.9,214309.2
Hungary,99430.5,105545.1,91402.5,97094.8,99285.5,95398.7,100059.5
Ireland,189932.9,179989.8,160595.9,155992.3,156109.2,158864.9,164621.6
Italy,1554198.9,1575143.9,1526790.4,1556028.6,1586209.0,1617154.7,1660133.6
Latvia,21026.5,22889.8,18521.3,17974.8,19605.9,20701.6,21888
Lithuania,28738.8,32461.7,26654.4,27607.5,30806.9,32781.8,34545.2
Luxembourg,37490.5,39436.5,37392.6,40266.9,41778.3,42893,45035.9
Malta,5434.3,5814.6,5812.7,6154.2,6440.0,6690,7008.3
Netherlands,571773.0,594481.0,571145.0,588414.0,607435.2,622714,639563.6
Poland,311001.7,363153.7,310418.2,354310.0,369318.3,355346.3,372417.2
Portugal,169319.2,171983.1,168503.6,172571.2,171632.4,168286.4,172647.7
Romania,124728.5,139765.4,118196.0,124058.9,131527.8,136278.1,147800.8
Slovakia,54810.8,64500.1,62895.5,65887.4,69944.5,71614,75123.1
Slovenia,34562.3,37279.5,35310.6,35415.8,36446.0,38018.4,
Spain,1053161.0,1087749.0,1047831.0,1051342.0,1074940.5,1094290,1123495.9
Sweden,337944.2,333255.7,291347.0,346536.4,386201.6,396188.4,409582.5
United Kingdom,2054237.7,1800710.8,1564467.9,1706301.9,1747315.6,1862190.7,1931407.6
